episode,reward,waiting_time,steps,avg_queue
786,-42,34.4,200,34.4
787,-42,34.4,200,34.4
788,-62,35.07,200,35.07
789,-42,34.4,200,34.4
790,-42,36.365,200,36.365
791,-42,36.485,200,36.485
792,-62,35.13,200,35.13
793,-62,33.175,200,33.175
794,-42,36.485,200,36.485
795,-38,37.065,200,37.065
796,-38,37.065,200,37.065
797,-42,36.485,200,36.485
798,-42,34.4,200,34.4
799,-50,34.285,200,34.285
800,-42,36.485,200,36.485
801,-38,37.065,200,37.065
802,-54,35.825,200,35.825
803,-38,37.065,200,37.065
804,-38,37.065,200,37.065
805,-38,37.065,200,37.065
806,-38,37.065,200,37.065
807,-102,35.905,200,35.905
808,-42,36.485,200,36.485
809,-38,37.065,200,37.065
810,-38,37.065,200,37.065
811,-42,34.4,200,34.4
812,-112,35.89,200,35.89
813,-52,36.025,200,36.025
814,-64,35.86,200,35.86
815,-38,37.065,200,37.065
816,-42,36.485,200,36.485
817,-42,36.485,200,36.485
818,-42,36.485,200,36.485
819,-42,36.16,200,36.16
820,-38,37.065,200,37.065
821,-38,37.065,200,37.065
822,-50,36.39,200,36.39
823,-42,36.485,200,36.485
824,-38,37.065,200,37.065
825,-42,36.485,200,36.485
826,-58,36.085,200,36.085
827,-42,36.485,200,36.485
828,-38,37.065,200,37.065
829,-38,37.065,200,37.065
830,-38,37.065,200,37.065
831,-42,36.16,200,36.16
832,-38,37.065,200,37.065
833,-42,36.485,200,36.485
834,-38,37.065,200,37.065
835,-58,35.235,200,35.235
836,-38,37.065,200,37.065
837,-42,34.4,200,34.4
838,-50,35.695,200,35.695
839,-38,37.065,200,37.065
840,-42,36.485,200,36.485
841,-46,36.0,200,36.0
842,-42,36.16,200,36.16
843,-42,34.4,200,34.4
844,-50,34.285,200,34.285
845,-42,34.4,200,34.4
846,-42,34.4,200,34.4
847,-62,33.68,200,33.68
848,-38,37.065,200,37.065
849,-42,34.4,200,34.4
850,-50,34.285,200,34.285
851,-42,34.4,200,34.4
852,-42,34.4,200,34.4
853,-62,33.68,200,33.68
854,-42,36.485,200,36.485
855,-42,34.4,200,34.4
856,-42,34.4,200,34.4
857,-42,34.4,200,34.4
858,-42,36.16,200,36.16
859,-42,34.4,200,34.4
860,-42,34.4,200,34.4
861,-42,34.4,200,34.4
862,-42,34.4,200,34.4
863,-42,34.4,200,34.4
864,-42,34.4,200,34.4
865,-42,34.4,200,34.4
866,-42,34.4,200,34.4
867,-50,34.285,200,34.285
868,-42,34.4,200,34.4
869,-42,36.16,200,36.16
870,-42,34.4,200,34.4
871,-71,36.275,200,36.275
872,-42,34.4,200,34.4
873,-42,34.4,200,34.4
874,-118,35.04,200,35.04
875,-42,36.485,200,36.485
876,-42,34.4,200,34.4
877,-38,37.065,200,37.065
878,-42,34.4,200,34.4
879,-42,34.4,200,34.4
880,-50,34.285,200,34.285
881,-42,34.4,200,34.4
882,-38,37.065,200,37.065
883,-42,34.4,200,34.4
884,-42,34.4,200,34.4
885,-42,34.4,200,34.4
886,-50,34.285,200,34.285
887,-42,34.4,200,34.4
888,-42,34.4,200,34.4
889,-38,37.065,200,37.065
890,-42,34.4,200,34.4
891,-56,33.465,200,33.465
892,-42,34.4,200,34.4
893,-42,34.4,200,34.4
894,-50,34.285,200,34.285
895,-50,34.285,200,34.285
896,-42,34.4,200,34.4
897,-76,32.285,200,32.285
898,-54,33.775,200,33.775
899,-42,34.4,200,34.4
900,-100,31.215,200,31.215
901,-74,32.375,200,32.375
902,-42,34.4,200,34.4
903,-58,33.64,200,33.64
904,-42,34.4,200,34.4
905,-58,33.64,200,33.64
906,-148,29.73,200,29.73
907,-42,34.4,200,34.4
908,-42,34.4,200,34.4
909,-42,34.4,200,34.4
910,-64,33.05,200,33.05
911,-108,34.11,200,34.11
912,-42,34.4,200,34.4
913,-42,34.4,200,34.4
914,-50,34.285,200,34.285
915,-62,35.115,200,35.115
916,-42,34.4,200,34.4
917,-42,34.4,200,34.4
918,-58,33.64,200,33.64
919,-42,34.4,200,34.4
920,-72,33.41,200,33.41
921,-42,34.4,200,34.4
922,-42,34.4,200,34.4
923,-42,34.4,200,34.4
